Cod_InstitucionEjecutora|Cod_InstitucionEjecutora2|Institucion|NombreInstitucion|Institucion2|Direccion|DireccionInstitucion|DireccionProfesional|Ciudad|CiudadInstitucion|CiudadProfesional|PaisInstitucion|PaisProfesional|Tlf1Proyecto|Telefono1|Telefono2|FaxProyecto|Fax1Proyecto|Fax2Proyecto|EmailProyecto|Email|PaginaWeb|ApartadoAereo
126|126|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|Corporación Venezolana de Guayana - Oficina de la Autoridad Unica de Area de la Gran Sabana|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 66.18.31|58-286/ 66.18.31|58-286/ 66.18.56|58-286/ 66.18.56|58-286/  61.41.61|||||
126|126|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|Corporación Venezolana de Guayana - Oficina de la Autoridad Unica de Area de la Gran Sabana|Centro altavista, Torre A, Piso 6, Altavista|Centro altavista, Torre A, Piso 6, Altavista|Centro altavista, Torre A, Piso 6, Altavista|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 66.18.31|58-286/ 66.18.31|58-286/ 66.18.56|58-286/ 66.18.56|58-286/ 61.41.61|||||
126|126|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 66.18.31|58-286/ 66.18.31|58-286/ 66.18.56|58-286/ 66.18.56|58-286/  61.41.61|||||
126|126|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|Centro altavista, Torre A, Piso 6, Altavista|Centro altavista, Torre A, Piso 6, Altavista|Centro altavista, Torre A, Piso 6, Altavista|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 66.18.31|58-286/ 66.18.31|58-286/ 66.18.56|58-286/ 66.18.56|58-286/ 61.41.61|||||
126|126|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG_CORPORACION VENEZLANA DE GUAYANA Y PROFORCA|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Centro Alta Vista, Torre A, Piso 6, Alta Vista, Puerto Ordaz|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 66.18.31|58-286/ 66.18.31|58-286/ 66.18.56|58-286/ 66.18.56|58-286/  61.41.61|||||
126|126|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG -Corporación Venezolana de Guayana- PROFORCA|CVG_CORPORACION VENEZLANA DE GUAYANA Y PROFORCA|Centro altavista, Torre A, Piso 6, Altavista|Centro altavista, Torre A, Piso 6, Altavista|Centro altavista, Torre A, Piso 6, Altavista|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 66.18.31|58-286/ 66.18.31|58-286/ 66.18.56|58-286/ 66.18.56|58-286/ 61.41.61|||||
127|127|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - AMAZONAS|Av. Amazonas c/calle La Guardia ,Edificio FUNDACOMUN|Av. Amazonas c/calle La Guardia   Edificio FUNDACOMUN|Av. Amazonas c/calle La Guardia   Edificio FUNDACOMUN|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Venezuela|Venezuela|58-248/ 521.09.47|58-248/5 21.09.47||||||||
127|127|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - AMAZONAS|Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|Av. Amazonas, c/calle La Guardia.   Edif. FUNDACOMUN|Av. Amazonas, c/calle La Guardia.   Edif. FUNDACOMUN|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Venezuela|No Disponible|58-248/ 21.09.47|58-248/ 21.09.47||||||||
127|127|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - ESTADO AMAZONAS|Av. Amazonas c/calle La Guardia ,Edificio FUNDACOMUN|Av. Amazonas c/calle La Guardia   Edificio FUNDACOMUN|Av. Amazonas c/calle La Guardia   Edificio FUNDACOMUN|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Venezuela|Venezuela|58-248/ 521.09.47|58-248/5 21.09.47||||||||
127|127|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - Estado Amazonas|FUNDACOMUN - ESTADO AMAZONAS|Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|Av. Amazonas, c/calle La Guardia.   Edif. FUNDACOMUN|Av. Amazonas, c/calle La Guardia.   Edif. FUNDACOMUN|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Venezuela|No Disponible|58-248/ 21.09.47|58-248/ 21.09.47||||||||
127|127|FUNDACOMUN -Estado Amazonas|FUNDACOMUN - AMAZONAS|FUNDACOMUN - AMAZONAS|Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|  Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Venezuela|Venezuela|58-248/ 21.09.47|58-248/ 21.09.47||||||||
127|127|FUNDACOMUN -Estado Amazonas|FUNDACOMUN - AMAZONAS|FUNDACOMUN - ESTADO AMAZONAS|Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|  Av. Amazonas, c/calle La Guardia. Edif. FUNDACOMUN|Puerto Ayacucho, Municipio Atures, Estado Amazonas|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Puerto Ayacucho. Municipio Atures (Estado Amazonas)|Venezuela|Venezuela|58-248/ 21.09.47|58-248/ 21.09.47||||||||
128|128|Comunidad de San Rafael de Kamoirán|Comunidad de San Rafael de Kamoirán|Comunidad de San Rafael de Kamoirán|Entrada al Centro Poblado de San Rafael de Kamoirán, Municipio Gran Sabana|Entrada al Centro Poblado de San Rafael de Kamoirán, Municipio Gran Sabana|Entrada al Centro Poblado de San Rafael de Kamoirán, Municipio Gran Sabana|San Rafael de Kamoirán. Estado Bolívar|San Rafael de Kamoirán. Estado Bolívar|San Rafael de Kamoirán. Estado Bolívar|Venezuela|Venezuela||||||||||
129|129|Oficina de Patrimonio Histórico de la Gobernación del Estado Bolívar|Oficina de Patrimonio Histórico de la Gobernación del Estado Bolívar|Oficina de Patrimonio Histórico de la Gobernación del Estado Bolívar|Calle Igualdad No. 27|Calle Igualdad No. 27|Calle Igualdad No. 27|Ciudad Bolívar, Estado Bolívar|Ciudad Bolívar|Ciudad Bolívar|Venezuela|Venezuela|58-285/ 20.256 - 30.13.20  |582-85/ 20.256 -30.13.20|Móvil: 0416/ 685.42.24| 0416/ 685.42.24|58-285/ 20.256|||||
130|130|IMVITUR -Instituto Municipal de Vivienda y Turismo, de ALMAGRANSABANA -Alcaldía del Municipio Gran Sabana del Estado Bolívar|IMVITUR -Instituto Municipal de Vivienda y Turismo, de ALMAGRANSABANA -Alcaldía del Municipio Gran Sabana del Estado Bolívar|IMVITUR -Instituto Municipal de Vivienda y Turismo, de ALMAGRANSABANA -Alcaldía del Municipio Gran Sabana del Estado Bolívar| Alcaldía del Municipio Gran Sabana del Estado Bolívar                          |IMVITUR -Instituto Municipal de Vivienda y Turismo, de ALMAGRANSABANA -Alcaldía del Municipio Gran Sabana del Estado Bolívar                                                                             |IMVITUR -Instituto Municipal de Vivienda y Turismo, de ALMAGRANSABANA -Alcaldía del Municipio Gran Sabana del Estado Bolívar|Santa Elena de Uairén, Estado Bolívar|Santa Elena de Uairén, Estado Bolívar|Santa Elena de Uairén, Estado Bolívar|Venezuela|Venezuela|58-288/ 95.10.55|52-288/ 95.10.55|58-288/ 95.14.77|58-288/ 95.14.77|58-288/ 95.10.56|58-288/ 95.16.15||||
131|131|Gobernación del Estado Bolívar|Gobernación del Estado Bolívar|GOBERNACION DEL ESTADO BOLIVAR|Calle Igualdad  Número 27|Calle Igualdad  Número 27|Calle Igualdad  Número 27|Ciudad Bolívar, Estado Bolívar|Ciudad Bolívar (Estado Bolívar)|Ciudad Bolívar (Estado Bolívar)|Venezuela|Venezuela|58-285/ 20.256|582-85/ 20.256|58-285/ 30.13.20|58-285/ 30.13.20|58-285/ 20.256|||||
132|132|UNEG - Universidad Nacional Experimental de Guayana|UNEG|UNEG - Universidad Nacional Experimental de Guayana|Urb. Banco Obrero, Quinta Naguará |Urb. Banco Obrero, Quinta Naguará |Urb. Banco Obrero, Quinta Naguará |Upata, Estado Bolívar|Upata. (Estado Bolívar)|Upata. (Estado Bolívar)|Venezuela|No Disponible|58-88/ 21.21.93|58-88/ 21.21.93|58-88/ 21.20.87.|58-88/ 21.20.87.||||||
132|132|UNEG - Universidad Nacional Experimental de Guayana|UNEG|Universidad Nacional Experimental de Guayana  (UNEG)|Urb. Banco Obrero, Quinta Naguará |Urb. Banco Obrero, Quinta Naguará |Urb. Banco Obrero, Quinta Naguará |Upata, Estado Bolívar|Upata. (Estado Bolívar)|Upata. (Estado Bolívar)|Venezuela|No Disponible|58-88/ 21.21.93|58-88/ 21.21.93|58-88/ 21.20.87.|58-88/ 21.20.87.||||||
132|132|UNEG - Universidad Nacional Experimental de Guayana  |UNEG - Universidad Nacional Experimental de Guayana  |UNEG - Universidad Nacional Experimental de Guayana|Avenida Las Américas- Edificio General de Seguros-Penthouse.|Avenida Las Américas- Edificio General de Seguros-Penthouse.|Avenida Las Américas- Edificio General de Seguros-Penthouse.|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 62.60.61|58-286/ 62.60.61||||||||
132|132|UNEG - Universidad Nacional Experimental de Guayana  |UNEG - Universidad Nacional Experimental de Guayana  |Universidad Nacional Experimental de Guayana  (UNEG)|Avenida Las Américas- Edificio General de Seguros-Penthouse.|Avenida Las Américas- Edificio General de Seguros-Penthouse.|Avenida Las Américas- Edificio General de Seguros-Penthouse.|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 62.60.61|58-286/ 62.60.61||||||||
133|133|ALMACARONI - Alcaldía del Municipio Caroní|ALMACARONI - Alcaldía del Municipio Caroní|ALMACARONI - Alcaldía del Municipio Caroní|Calle Bolívar cruce con calle Sucre, Casco central de San Félix|Calle Bolívar cruce con calle Sucre, Casco central de San Félix|Calle Bolívar cruce con calle Sucre, Casco central de San Félix|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/  40.274|58-286/  40.274|||58-286/  40.274|||||
134|134|PLANURBE|PLANURBE|PLANURBE|Calle La Urbana, Edf. Araguaney, Ofc. 5ª, Puerto Ordaz.|Calle La Urbana, Edf. Araguaney, Ofc. 5ª|Calle La Urbana, Edf. Araguaney, Ofc. 5ª|Ciudad Bolívar, Estado Bolívar|Puerto Ordaz, Estado Bolívar|Puerto Ordaz, Estado Bolívar|Venezuela|Venezuela|58-286/ 22.40.45 |58-286/ 22.40.45|0416-686.62.49|0416/ 686.62.49|58-286/  22.40.45|||||
135||Comunidad Indígena COROMOTO|Comunidad Indígena COROMOTO||Sector "El Tobogán de la Selva", Comunidad Indígena COROMOTO|Sector "El Tobogán de la Selva", Comunidad Indígena COROMOTO|Sector "El Tobogán de la Selva", Comunidad Indígena COROMOTO|Puerto Ayacucho, Estado Amazonas|Puerto Ayacucho (Estado Amazonas)|Puerto Ayacucho (Estado Amazonas)|Venezuela|Venezuela|58-248/ 21.36.35|58-248/ 21.36.35||||||||
136|136|FUNVICA - Fundación de la Vivienda del Caroní |FUNVICA - Fundación de la Vivienda del Caroní |FUNVICA - Fundación de la Vivienda del Caroní|Av. Antonio de Berrío, antiguo módulo de Defensa Civil|Av. Antonio de Berrío, antiguo módulo de Defensa Civil|Av. Antonio de Berrío, antiguo módulo de Defensa Civil|San Félix, Estado Bolívar|San Félix (Estado Bolívar)|San Félix (Estado Bolívar)|No Disponible|Venezuela|58-286/ 45.886|58-286/ 45.886|58-286/ 43.402|58-286/ 43.402.||||||
137|137|INCE|INCE|INCE|Urb. Jardín Levante, Edf. B-1, apto. 11, Alta Vista.|Urb. Jardín Levante, Edf. B-1, apto. 11, Alta Vista,  | INCE - Construcción|Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 62.19.93|58-286/ 62.19.93||||||||
138|138|Universidad de Oriente , Núcleo Ciudad Bolívar|Universidad de Oriente , Núcleo Ciudad Bolívar|Universidad de Oriente , Núcleo Ciudad Bolívar, Estado Bolívar|Avenida Bolívar |Avenida Bolívar|Universidad de Oriente , Núcleo Ciudad Bolívar, Avenida Bolívar|Ciudad Bolívar, Estado Bolívar|Ciudad Bolívar (Estado Bolívar)|Ciudad Bolívar (Estado Bolívar)|Venezuela|Venezuela|58-285/  26.678|58-285/  26.678|58-285/ 40.035|58-285/ 40.035||||||
139||FUNDASOLI - Fundación para el Desarrollo y Fomento de la Unidad Familiar |FUNDASOLI - Fundación para el Desarrollo y Fomento de la Unidad Familiar ||Centro Comercial "Mami" 2do Piso, Oficina No 102.  |Centro Comercial "Mami" 2do Piso, Oficina No 102.  |Centro Comercial "Mami" 2do Piso, Oficina No 102.  |Puerto Ordaz, Estado Bolívar|Puerto Ordaz (Estado Bolívar)|Puerto Ordaz (Estado Bolívar)|Venezuela|Venezuela|58-286/ 62.51.64|58-286/ 62.51.64||||||||
140|140|Asociación Civil Comunidad Autogestionaria "Nuevo Horizonte" |Asociación Civil Comunidad Autogestionaria "Nuevo Horizonte" |Asociación Civil Comunidad Autogestionaria "Nuevo Horizonte"|Calle San Francisco Número 120, sector 6. Nuevo Horizonte; Sector Maipure II  Sur. Parroquia Marhuanta|Calle San Francisco Número 120, sector 6. Nuevo Horizonte; Sector Maipure II  Sur. Parroquia Marhuanta|Calle San Francisco Número 120, sector 6. Nuevo Horizonte; Sector Maipure II  Sur. Parroquia Marhuanta|Ciudad Bolívar, Estado Bolívar|Ciudad Bolívar. (Estado Bolívar)|Ciudad Bolívar. (Estado Bolívar)|Venezuela|Venezuela||||||||||
141|141|FUNDAVIVIENDA. Gobernación del Estado Delta Amacuro|FUNDAVIVIENDA. Gobernación del Estado Delta Amacuro|FUNDAVIVIENDA. Gobernación del Estado Delta Amacuro. Tucupita.|Avenida El Cementerio con calle Petión No 37 |Avenida El Cementerio con calle Petión No 37 |Avenida El Cementerio con calle Petión No 37 |Tucupita, Estado Delta Amacuro|Tucupita- Estado Delta Amacuro. |Tucupita- Estado Delta Amacuro. |Venezuela|Venezuela|58-287/ 21.09.77|58-287/ 21.09.77||0416 / 697.04-39|58-287/ 21.30.22|||||
142|142|MINDUR - Ministerio de Desarrollo Urbano  |MINDUR - Ministerio de Desarrollo Urbano |MINDUR - Ministerio de Desarrollo Urbano  - Tucupita|Calle Orinoco|Calle Orinoco|Calle Orinoco|Tucupita, Estado Delta Amacuro|Tucupita. Estado Delta Amacuro|Tucupita. Estado Delta Amacuro|Venezuela|Venezuela|58-287 / 21.38.66|58-287 / 21.38.66|||58-287 / 21.39.03|||||
143|143|Alcaldía  de Sotillo  del Estado Monagas |Alcaldía  de Sotillo  del Estado Monagas |Alcaldía  de Sotillo  del Estado Monagas|Calle Bolívar, frente a la Plaza  Bolívar|Calle Bolívar, frente a la Plaza  Bolívar|Calle Bolívar, frente a la Plaza  Bolívar|Barrancas, Municipio Sotillo, Estado Monagas|Barrancas. Municipio Sotillo. Edo. Monagas. |Barrancas. Municipio Sotillo. Edo. Monagas. |Venezuela|Venezuela|58-287/ 71.10.81|58-287/ 71.10.81|||58-287/ 71.10.84|||||
144|144|CENTRO POBLADO APOIPO|CENTRO POBLADO APOIPO|Comunidad Indígena de Apopipó|Centro Poblado Apoipó, ubicado en la adyacencia del naciente del Alto Caroní (Río Kukenán), al sur de los límites del Parque Nacional Canaima y al Norte de la vía Santa Elena de Uairén - El Paují, en la dirección del Centro Poblado de Betania|Centro Poblado Apoipó, ubicado en la adyacencia del naciente del Alto Caroní (Río Kukenán), al sur de los límites del Parque Nacional Canaima y al Norte de la vía Santa Elena de Uairén - El Paují, en la dirección del Centro Poblado de Betania|Centro Poblado Apoipó, ubicado en la adyacencia del naciente del Alto Caroní (Río Kukenán), al sur de los límites del Parque Nacional Canaima y al Norte de la vía Santa Elena de Uairén - El Paují, en la dirección del Centro Poblado de Betania|Municipio Gran Sabana, Estado Bolívar|Municipio Gran Sabana, Estado Bolívar|POBLADO APOIPO, Municipio Gran Sabana, Estado Bolívar|Venezuela|Venezuela||||||||||
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 34.3.773|591-3/ 34.3.773|591-3/ 32.47.43|591-3/ 32.47.43|||mcc.bolivia@scbbs-bo.com|mcc.bolivia@scbbs-bo.com||Casilla 213
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 34.37.73|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com|mcc.bolivia@scbbs-bo.com||Casilla 213
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barrio la Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio la Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco    |Barrio la Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 52.17.57|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com|mcc.bolivar@scbbs-bo.com|www.misionesmenonitaspr.org/|Casilla 213
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 52.17.57|591-3/ 52.17.57|591-3/ 32.47.43|591-3/ 32.47.43|||mcc.bolivia@scbbs-bo.com|Casilla 213 ||Casilla 213 
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barrio La Cuchilla, camino a Tierras Nuevas (al frente de la UEB), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, camino a Tierras Nuevas (al frente de la UEB), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, camino a Tierras Nuevas (al frente de la UEB), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 52.17.57|591-3/ 52.17.57|591-3/ 32.47.43|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com|mcc.bolivia@scbbs-bo.com||
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barrio La Cuchilla, Camino a Tierras Nuevas (frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco  |Barrio La Cuchilla, Camino a Tierras Nuevas (frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 34.37.73|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com|mcc.bolivia@scbbs-bo.com|www.misionesmenonitaspr.org|Casilla 213  
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|CCM - Comité Central Menonita: Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|c. Puerto Pacheco Nº 14 esquina prolongación c. Arenales|c. Puerto Pacheco Nº 14 esquina prolongación c. Arenales  |c. Puerto Pacheco Nº 14 esquina prolongación c. Arenales|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591- 3 - 3343773|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@mcc.org|mcc.bolivia@mcc.org|www.mcc.org |Casilla 213
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITE CENTRAL MENONITA|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 34.3.773|591-3/ 34.3.773|591-3/ 32.47.43|591-3/ 32.47.43|||mcc.bolivia@scbbs-bo.com|mcc.bolivia@scbbs-bo.com||Casilla 213
146|146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|COMITE CENTRAL MENONITA|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 34.37.73|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com|mcc.bolivia@scbbs-bo.com||Casilla 213
